Sample, R1, STROBE, L
440800, 0, 0, 0
441022, 0, 1, 1
441029, 0, 0, 1
441035, 0, 1, 1
441042, 0, 0, 1
441048, 0, 1, 1
441055, 0, 0, 1
441061, 0, 1, 1
441068, 0, 0, 1
441074, 0, 1, 1
441081, 0, 0, 1
441086, 0, 1, 1
441093, 0, 0, 1
441099, 0, 1, 1
441106, 0, 0, 1
441112, 0, 1, 1
441119, 0, 0, 1
441125, 0, 1, 1
441132, 0, 0, 1
441138, 0, 1, 1
441145, 0, 0, 1
441150, 0, 1, 1
441157, 0, 0, 1
441163, 0, 1, 1
441170, 0, 0, 1
441176, 0, 1, 1
441183, 0, 0, 1
441189, 0, 1, 1
441196, 0, 0, 1
441201, 0, 0, 0
441304, 0, 1, 1
441311, 0, 0, 1
441317, 0, 1, 1
441324, 0, 0, 1
441330, 0, 1, 1
441337, 0, 0, 1
441342, 0, 1, 1
441349, 0, 0, 1
441355, 0, 1, 1
441362, 0, 0, 1
441368, 0, 1, 1
441375, 0, 0, 1
441381, 0, 1, 1
441388, 0, 0, 1
441394, 0, 1, 1
441401, 0, 0, 1
441406, 0, 1, 1
441413, 0, 0, 1
441419, 0, 1, 1
441426, 0, 0, 1
441432, 0, 1, 1
441439, 0, 0, 1
441445, 0, 1, 1
441452, 0, 0, 1
441457, 0, 0, 0
441560, 0, 1, 0
441567, 0, 0, 0
441573, 0, 1, 1
441580, 0, 0, 1
441586, 0, 1, 1
441593, 0, 0, 1
441598, 0, 1, 1
441605, 0, 0, 1
441611, 0, 0, 0
441713, 0, 0, 1
441714, 0, 1, 1
441721, 0, 0, 1
441726, 0, 1, 1
441733, 0, 0, 1
441739, 0, 1, 1
441746, 0, 0, 1
441752, 0, 1, 1
441759, 0, 0, 1
441765, 0, 1, 1
441772, 0, 0, 1
441778, 0, 1, 1
441785, 0, 0, 1
441790, 0, 1, 1
441797, 0, 0, 1
441803, 0, 1, 1
441810, 0, 0, 1
441816, 0, 1, 1
441823, 0, 0, 1
441829, 0, 1, 1
441836, 0, 0, 1
441842, 0, 1, 1
441849, 0, 0, 1
441854, 0, 1, 1
441861, 0, 0, 1
441867, 0, 1, 1
441874, 0, 0, 1
441880, 0, 1, 1
441887, 0, 0, 1
441893, 0, 0, 0
441995, 0, 1, 0
442002, 0, 0, 0
442008, 0, 1, 0
442015, 0, 0, 0
442021, 0, 1, 0
442028, 0, 0, 0
442034, 0, 1, 0
442041, 0, 0, 0
442046, 0, 1, 0
442053, 0, 0, 0
442059, 1, 1, 0
442066, 1, 0, 0
442072, 1, 1, 0
442079, 1, 0, 0
442085, 1, 1, 0
442092, 1, 0, 0
442097, 0, 0, 0
442098, 0, 1, 0
442105, 0, 0, 0
442110, 1, 1, 0
442117, 1, 0, 0
442123, 1, 1, 0
442130, 1, 0, 0
442136, 1, 1, 0
442143, 1, 0, 0
442148, 0, 0, 0
442149, 0, 1, 0
442156, 0, 0, 0
442162, 0, 1, 0
442169, 0, 0, 0
442174, 0, 1, 0
442182, 0, 0, 0
442187, 0, 1, 0
442194, 0, 0, 0
442200, 0, 1, 0
442207, 0, 0, 0
442213, 0, 1, 0
442220, 0, 0, 0
442226, 0, 1, 0
442233, 0, 0, 0
442238, 0, 1, 0
442246, 0, 0, 0
442251, 0, 1, 0
442258, 0, 0, 0
442264, 1, 1, 0
442271, 1, 0, 0
442277, 1, 1, 0
442284, 1, 0, 0
442290, 1, 1, 0
442297, 1, 0, 0
442302, 0, 0, 0
442303, 0, 1, 0
442310, 0, 0, 0
442315, 1, 1, 0
442322, 1, 0, 0
442328, 1, 1, 0
442335, 1, 0, 0
442341, 1, 1, 0
442348, 1, 0, 0
442353, 0, 0, 0
442354, 0, 1, 0
442361, 0, 0, 0
442366, 0, 1, 0
442374, 0, 0, 0
442379, 0, 1, 0
442386, 0, 0, 0
442392, 0, 1, 0
442399, 0, 0, 0
442405, 0, 1, 0
442412, 0, 0, 0
442418, 0, 1, 0
442425, 0, 0, 0
442430, 0, 1, 0
442438, 0, 0, 0
442443, 0, 1, 0
442450, 0, 0, 0
442456, 0, 1, 0
442463, 0, 0, 0
442468, 1, 0, 0
442469, 1, 1, 0
442476, 1, 0, 0
442482, 1, 1, 0
442489, 1, 0, 0
442494, 1, 1, 0
442502, 1, 0, 0
442507, 0, 1, 0
442514, 0, 0, 0
442520, 1, 1, 0
442527, 1, 0, 0
442533, 1, 1, 0
442540, 1, 0, 0
442546, 1, 1, 0
442553, 1, 0, 0
442558, 0, 0, 0
442559, 0, 1, 0
442566, 0, 0, 0
442571, 0, 1, 0
442578, 0, 0, 0
442584, 0, 1, 0
442591, 0, 0, 0
442597, 0, 1, 0
442604, 0, 0, 0
442610, 0, 1, 0
442617, 0, 0, 0
442622, 0, 1, 0
442630, 0, 0, 0
442635, 0, 1, 0
442642, 0, 0, 0
442648, 0, 1, 0
442655, 0, 0, 0
442661, 0, 1, 0
442668, 0, 0, 0
442673, 1, 0, 0
442674, 1, 1, 0
442681, 1, 0, 0
442686, 1, 1, 0
442694, 1, 0, 0
442699, 1, 1, 0
442706, 1, 0, 0
442712, 0, 1, 0
442719, 0, 0, 0
442724, 1, 0, 0
442725, 1, 1, 0
442732, 1, 0, 0
442738, 1, 1, 0
442745, 1, 0, 0
442750, 1, 1, 0
442758, 1, 0, 0
442763, 0, 1, 0
442770, 0, 0, 0
442776, 0, 1, 0
442783, 0, 0, 0
442789, 0, 1, 0
442796, 0, 0, 0
442802, 0, 1, 0
442809, 0, 0, 0
442815, 0, 1, 0
442822, 0, 0, 0
442827, 0, 1, 0
442834, 0, 0, 0
442840, 0, 1, 0
442847, 0, 0, 0
442853, 0, 1, 0
442860, 0, 0, 0
442866, 0, 1, 0
442873, 0, 0, 0
442878, 1, 0, 0
442879, 1, 1, 0
442886, 1, 0, 0
442891, 1, 1, 0
442898, 1, 0, 0
442904, 1, 1, 0
442911, 1, 0, 0
442916, 0, 0, 0
442917, 0, 1, 0
442924, 0, 0, 0
442929, 1, 0, 0
442930, 1, 1, 0
442937, 1, 0, 0
442943, 1, 1, 0
442950, 1, 0, 0
442955, 1, 1, 0
442962, 1, 0, 0
442968, 0, 1, 0
442975, 0, 0, 0
442981, 0, 1, 0
442988, 0, 0, 0
442994, 0, 1, 0
443001, 0, 0, 0
443007, 0, 1, 0
443014, 0, 0, 0
443019, 0, 1, 0
443026, 0, 0, 0
443032, 0, 1, 0
443039, 0, 0, 0
443045, 0, 1, 0
443052, 0, 0, 0
443058, 0, 1, 0
443065, 0, 0, 0
443071, 0, 1, 0
443078, 0, 0, 0
443083, 1, 1, 0
443090, 1, 0, 0
443096, 1, 1, 0
443103, 1, 0, 0
443109, 1, 1, 0
443116, 1, 0, 0
443121, 0, 0, 0
443122, 0, 1, 0
443129, 0, 0, 0
443134, 1, 0, 0
443135, 1, 1, 0
443142, 1, 0, 0
443147, 1, 1, 0
443154, 1, 0, 0
443160, 1, 1, 0
443167, 1, 0, 0
443173, 0, 1, 0
443180, 0, 0, 0
443186, 0, 1, 0
443193, 0, 0, 0
443199, 0, 1, 0
443206, 0, 0, 0
443211, 0, 1, 0
443218, 0, 0, 0
443224, 0, 1, 0
443231, 0, 0, 0
443237, 0, 1, 0
443244, 0, 0, 0
443250, 0, 1, 0
443257, 0, 0, 0
443263, 0, 1, 0
443270, 0, 0, 0
443275, 0, 1, 0
443282, 0, 0, 0
443288, 1, 1, 0
443295, 1, 0, 0
443301, 1, 1, 0
443308, 1, 0, 0
443314, 1, 1, 0
443321, 1, 0, 0
443326, 0, 0, 0
443327, 0, 1, 0
443334, 0, 0, 0
443339, 1, 1, 0
443346, 1, 0, 0
443352, 1, 1, 0
443359, 1, 0, 0
443365, 1, 1, 0
443372, 1, 0, 0
443377, 0, 0, 0
443378, 0, 1, 0
443385, 0, 0, 0
443391, 0, 1, 0
443398, 0, 0, 0
443403, 0, 1, 0
443410, 0, 0, 0
443416, 0, 1, 0
443423, 0, 0, 0
443429, 0, 1, 0
443436, 0, 0, 0
443442, 0, 1, 0
443449, 0, 0, 0
443455, 0, 1, 0
443462, 0, 0, 0
443467, 0, 1, 0
443474, 0, 0, 0
443480, 0, 1, 0
443487, 0, 0, 0
443492, 1, 0, 0
443493, 1, 1, 0
443500, 1, 0, 0
443506, 1, 1, 0
443513, 1, 0, 0
443519, 1, 1, 0
443526, 1, 0, 0
443531, 0, 1, 0
443538, 0, 0, 0
443544, 1, 1, 0
443551, 1, 0, 0
443557, 1, 1, 0
443564, 1, 0, 0
443570, 1, 1, 0
443577, 1, 0, 0
443582, 0, 0, 1
443583, 0, 1, 1
443590, 0, 0, 1
443595, 0, 1, 1
443602, 0, 0, 1
443608, 0, 1, 1
443615, 0, 0, 1
443621, 0, 1, 1
443628, 0, 0, 1
443633, 0, 0, 0
443736, 0, 1, 1
443743, 0, 0, 1
443749, 0, 1, 1
443756, 0, 0, 1
443762, 0, 1, 1
443769, 0, 0, 1
443775, 0, 1, 1
443782, 0, 0, 1
443787, 0, 1, 1
443794, 0, 0, 1
443800, 0, 1, 1
443807, 0, 0, 1
443813, 0, 1, 1
443820, 0, 0, 1
443826, 0, 1, 1
443833, 0, 0, 1
443839, 0, 1, 1
443846, 0, 0, 1
443851, 0, 1, 1
443858, 0, 0, 1
443864, 0, 1, 1
443871, 0, 0, 1
443877, 0, 1, 1
443884, 0, 0, 1
443890, 0, 1, 1
443897, 0, 0, 1
443903, 0, 1, 1
443910, 0, 0, 1
443915, 0, 0, 0
444018, 0, 1, 0
444025, 0, 0, 0
444030, 1, 0, 0
444031, 1, 1, 0
444038, 1, 0, 0
444043, 1, 1, 0
444050, 1, 0, 0
444056, 1, 1, 0
444063, 1, 0, 0
444069, 1, 1, 0
444076, 1, 0, 0
444082, 1, 1, 0
444089, 1, 0, 0
444094, 0, 0, 0
444095, 0, 1, 0
444102, 0, 0, 0
444107, 0, 1, 0
444114, 0, 0, 0
444120, 1, 1, 0
444127, 1, 0, 0
444133, 0, 1, 0
444140, 0, 0, 0
444146, 0, 1, 0
444153, 0, 0, 0
444159, 0, 1, 0
444166, 0, 0, 0
444171, 0, 1, 0
444178, 0, 0, 0
444184, 0, 1, 0
444191, 0, 0, 0
444197, 0, 1, 0
444204, 0, 0, 0
444210, 0, 1, 0
444217, 0, 0, 0
444223, 0, 1, 0
444230, 0, 0, 0
444235, 1, 1, 0
444242, 1, 0, 0
444248, 1, 1, 0
444255, 1, 0, 0
444261, 1, 1, 0
444268, 1, 0, 0
444274, 1, 1, 0
444281, 1, 0, 0
444287, 1, 1, 0
444294, 1, 0, 0
444299, 0, 1, 0
444306, 0, 0, 0
444312, 0, 1, 0
444319, 0, 0, 0
444324, 1, 0, 0
444325, 1, 1, 0
444332, 1, 0, 0
444337, 0, 0, 0
444338, 0, 1, 0
444345, 0, 0, 0
444351, 0, 1, 0
444358, 0, 0, 0
444363, 0, 1, 0
444370, 0, 0, 0
444376, 0, 1, 0
444383, 0, 0, 0
444389, 0, 1, 0
444396, 0, 0, 0
444402, 0, 1, 0
444409, 0, 0, 0
444415, 0, 1, 0
444422, 0, 0, 0
444427, 0, 1, 0
444434, 0, 0, 0
444440, 1, 1, 0
444447, 1, 0, 0
444453, 1, 1, 0
444460, 1, 0, 0
444466, 1, 1, 0
444473, 1, 0, 0
444479, 1, 1, 0
444486, 1, 0, 0
444491, 1, 1, 0
444498, 1, 0, 0
444504, 0, 1, 0
444511, 0, 0, 0
444517, 0, 1, 0
444524, 0, 0, 0
444529, 1, 0, 0
444530, 1, 1, 0
444537, 1, 0, 0
444542, 0, 0, 0
444543, 0, 1, 0
444550, 0, 0, 0
444555, 0, 1, 0
444562, 0, 0, 0
444568, 0, 1, 0
444575, 0, 0, 0
444581, 0, 1, 0
444588, 0, 0, 0
444594, 0, 1, 0
444601, 0, 0, 0
444607, 0, 1, 0
444614, 0, 0, 0
444619, 0, 1, 0
444626, 0, 0, 0
444632, 0, 1, 0
444639, 0, 0, 0
444644, 1, 0, 0
444645, 1, 1, 0
444652, 1, 0, 0
444658, 1, 1, 0
444665, 1, 0, 0
444671, 1, 1, 0
444678, 1, 0, 0
444683, 1, 1, 0
444690, 1, 0, 0
444696, 1, 1, 0
444703, 1, 0, 0
444709, 0, 1, 0
444716, 0, 0, 0
444722, 0, 1, 0
444729, 0, 0, 0
444734, 1, 0, 0
444735, 1, 1, 0
444742, 1, 0, 0
444747, 0, 1, 0
444754, 0, 0, 0
444760, 0, 1, 0
444767, 0, 0, 0
444773, 0, 1, 0
444780, 0, 0, 0
444786, 0, 1, 0
444793, 0, 0, 0
444799, 0, 1, 0
444806, 0, 0, 0
444811, 0, 1, 0
444818, 0, 0, 0
444824, 0, 1, 0
444831, 0, 0, 0
444837, 0, 1, 0
444844, 0, 0, 0
444849, 1, 0, 0
444850, 1, 1, 0
444857, 1, 0, 0
444863, 1, 1, 0
444870, 1, 0, 0
444875, 1, 1, 0
444882, 1, 0, 0
444888, 1, 1, 0
444895, 1, 0, 0
444901, 1, 1, 0
444908, 1, 0, 0
444913, 0, 0, 0
444914, 0, 1, 0
444921, 0, 0, 0
444927, 0, 1, 0
444934, 0, 0, 0
444939, 1, 1, 0
444946, 1, 0, 0
444952, 0, 1, 0
444959, 0, 0, 0
444965, 0, 1, 0
444972, 0, 0, 0
444978, 0, 1, 0
444985, 0, 0, 0
444991, 0, 1, 0
444998, 0, 0, 0
445003, 0, 1, 0
445010, 0, 0, 0
445016, 0, 1, 0
445023, 0, 0, 0
445029, 0, 1, 0
445036, 0, 0, 0
445042, 0, 1, 0
445049, 0, 0, 0
445054, 1, 0, 0
445055, 1, 1, 0
445062, 1, 0, 0
445067, 1, 1, 0
445074, 1, 0, 0
445080, 1, 1, 0
445087, 1, 0, 0
445093, 1, 1, 0
445100, 1, 0, 0
445106, 1, 1, 0
445113, 1, 0, 0
445118, 0, 0, 0
445119, 0, 1, 0
445126, 0, 0, 0
445131, 0, 1, 0
445138, 0, 0, 0
445144, 1, 1, 0
445151, 1, 0, 0
445157, 0, 1, 0
445164, 0, 0, 0
445170, 0, 1, 0
445177, 0, 0, 0
445183, 0, 1, 0
445190, 0, 0, 0
445195, 0, 1, 0
445202, 0, 0, 0
445208, 0, 1, 0
445215, 0, 0, 0
445221, 0, 1, 0
445228, 0, 0, 0
445234, 0, 1, 0
445241, 0, 0, 0
445247, 0, 1, 0
445254, 0, 0, 0
445259, 1, 1, 0
445266, 1, 0, 0
445272, 1, 1, 0
445279, 1, 0, 0
445285, 1, 1, 0
445292, 1, 0, 0
445298, 1, 1, 0
445305, 1, 0, 0
445311, 1, 1, 0
445318, 1, 0, 0
445323, 0, 1, 0
445330, 0, 0, 0
445336, 0, 1, 0
445343, 0, 0, 0
445349, 1, 1, 0
445356, 1, 0, 0
445361, 0, 0, 0
445362, 0, 1, 0
445369, 0, 0, 0
445375, 0, 1, 0
