Sample, R1, STROBE, L
426240, 0, 0, 0
426646, 0, 0, 1
426647, 0, 1, 1
426652, 0, 0, 1
426657, 0, 1, 1
426663, 0, 0, 1
426667, 0, 1, 1
426673, 0, 0, 1
426677, 0, 1, 1
426683, 0, 0, 1
426688, 0, 1, 1
426693, 0, 0, 1
426698, 0, 1, 1
426704, 0, 0, 1
426708, 0, 1, 1
426714, 0, 0, 1
426718, 0, 1, 1
426724, 0, 0, 1
426729, 0, 1, 1
426734, 0, 0, 1
426739, 0, 1, 1
426744, 0, 0, 1
426749, 0, 1, 1
426755, 0, 0, 1
426759, 0, 1, 1
426765, 0, 0, 1
426770, 0, 1, 1
426775, 0, 0, 1
426780, 0, 1, 1
426785, 0, 0, 1
426790, 0, 0, 0
426872, 0, 1, 1
426878, 0, 0, 1
426882, 0, 1, 1
426888, 0, 0, 1
426892, 0, 1, 1
426898, 0, 0, 1
426903, 0, 1, 1
426908, 0, 0, 1
426913, 0, 1, 1
426919, 0, 0, 1
426923, 0, 1, 1
426929, 0, 0, 1
426933, 0, 1, 1
426939, 0, 0, 1
426944, 0, 1, 1
426949, 0, 0, 1
426954, 0, 1, 1
426960, 0, 0, 1
426964, 0, 1, 1
426970, 0, 0, 1
426974, 0, 1, 1
426980, 0, 0, 1
426985, 0, 1, 1
426990, 0, 0, 1
426995, 0, 0, 0
427077, 0, 1, 0
427082, 0, 0, 0
427087, 0, 1, 1
427093, 0, 0, 1
427097, 0, 1, 1
427103, 0, 0, 1
427108, 0, 1, 1
427113, 0, 0, 1
427118, 0, 0, 0
427199, 0, 0, 1
427200, 0, 1, 1
427205, 0, 0, 1
427210, 0, 1, 1
427216, 0, 0, 1
427220, 0, 1, 1
427226, 0, 0, 1
427230, 0, 1, 1
427236, 0, 0, 1
427241, 0, 1, 1
427246, 0, 0, 1
427251, 0, 1, 1
427257, 0, 0, 1
427261, 0, 1, 1
427267, 0, 0, 1
427271, 0, 1, 1
427277, 0, 0, 1
427282, 0, 1, 1
427287, 0, 0, 1
427292, 0, 1, 1
427297, 0, 0, 1
427302, 0, 1, 1
427308, 0, 0, 1
427312, 0, 1, 1
427318, 0, 0, 1
427323, 0, 1, 1
427328, 0, 0, 1
427333, 0, 1, 1
427338, 0, 0, 1
427343, 0, 0, 0
427425, 0, 1, 0
427431, 0, 0, 0
427435, 0, 1, 0
427441, 0, 0, 0
427445, 0, 1, 0
427451, 0, 0, 0
427456, 0, 1, 0
427461, 0, 0, 0
427466, 0, 1, 0
427472, 0, 0, 0
427476, 1, 1, 0
427482, 1, 0, 0
427486, 1, 1, 0
427492, 1, 0, 0
427497, 1, 1, 0
427502, 1, 0, 0
427507, 0, 1, 0
